COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
2060,Alaska,ALWAYS,RARELY,0.037
2060,Alaska,ALWAYS,SOMETIMES,0.042
2060,Alaska,ALWAYS,FREQUENTLY,0.308
2060,Alaska,ALWAYS,ALWAYS,0.564
2068,Alaska,ALWAYS,NEVER,0.062
2068,Alaska,ALWAYS,RARELY,0.081
2068,Alaska,ALWAYS,SOMETIMES,0.067
2068,Alaska,ALWAYS,FREQUENTLY,0.225
2068,Alaska,ALWAYS,ALWAYS,0.565
2070,Alaska,ALWAYS,NEVER,0.072
2070,Alaska,ALWAYS,RARELY,0.025
2070,Alaska,ALWAYS,SOMETIMES,0.027
2070,Alaska,ALWAYS,FREQUENTLY,0.391
2070,Alaska,ALWAYS,ALWAYS,0.484
2090,Alaska,ALWAYS,NEVER,0.094
2090,Alaska,ALWAYS,RARELY,0.084
2090,Alaska,ALWAYS,SOMETIMES,0.175
2090,Alaska,ALWAYS,FREQUENTLY,0.234
2090,Alaska,ALWAYS,ALWAYS,0.413
2100,Alaska,FREQUENTLY,NEVER,0.055
2100,Alaska,FREQUENTLY,RARELY,0.05
2100,Alaska,FREQUENTLY,SOMETIMES,0.123
2100,Alaska,FREQUENTLY,FREQUENTLY,0.419
2100,Alaska,FREQUENTLY,ALWAYS,0.352
2105,Alaska,FREQUENTLY,NEVER,0.051
2105,Alaska,FREQUENTLY,RARELY,0.064
2105,Alaska,FREQUENTLY,SOMETIMES,0.13
2105,Alaska,FREQUENTLY,FREQUENTLY,0.399
2105,Alaska,FREQUENTLY,ALWAYS,0.356
2110,Alaska,FREQUENTLY,NEVER,0.051
2110,Alaska,FREQUENTLY,RARELY,0.067
2110,Alaska,FREQUENTLY,SOMETIMES,0.133
2110,Alaska,FREQUENTLY,FREQUENTLY,0.396
2110,Alaska,FREQUENTLY,ALWAYS,0.353
2122,Alaska,ALWAYS,NEVER,0.043
2122,Alaska,ALWAYS,RARELY,0.047
2122,Alaska,ALWAYS,SOMETIMES,0.051
2122,Alaska,ALWAYS,FREQUENTLY,0.197
2122,Alaska,ALWAYS,ALWAYS,0.662
2130,Alaska,ALWAYS,NEVER,0.025
2130,Alaska,ALWAYS,RARELY,0.149
2130,Alaska,ALWAYS,SOMETIMES,0.174
2130,Alaska,ALWAYS,FREQUENTLY,0.256
2130,Alaska,ALWAYS,ALWAYS,0.396
2150,Alaska,ALWAYS,NEVER,0.042
2150,Alaska,ALWAYS,RARELY,0.043
2150,Alaska,ALWAYS,SOMETIMES,0.049
2150,Alaska,ALWAYS,FREQUENTLY,0.233
2150,Alaska,ALWAYS,ALWAYS,0.633
2158,Alaska,FREQUENTLY,NEVER,0.103
2158,Alaska,FREQUENTLY,RARELY,0.022
2158,Alaska,FREQUENTLY,SOMETIMES,0.007
2158,Alaska,FREQUENTLY,FREQUENTLY,0.521
2158,Alaska,FREQUENTLY,ALWAYS,0.347
2164,Alaska,ALWAYS,NEVER,0.055
2164,Alaska,ALWAYS,RARELY,0.036
2164,Alaska,ALWAYS,SOMETIMES,0.04
2164,Alaska,ALWAYS,FREQUENTLY,0.299
2164,Alaska,ALWAYS,ALWAYS,0.571
2170,Alaska,ALWAYS,NEVER,0.042
2170,Alaska,ALWAYS,RARELY,0.051
2170,Alaska,ALWAYS,SOMETIMES,0.048
2170,Alaska,ALWAYS,FREQUENTLY,0.198
2170,Alaska,ALWAYS,ALWAYS,0.66
2180,Alaska,FREQUENTLY,NEVER,0.086
2180,Alaska,FREQUENTLY,RARELY,0.061
2180,Alaska,FREQUENTLY,SOMETIMES,0.009
2180,Alaska,FREQUENTLY,FREQUENTLY,0.544
2180,Alaska,FREQUENTLY,ALWAYS,0.3
2185,Alaska,ALWAYS,NEVER,0.036
2185,Alaska,ALWAYS,RARELY,0.059
2185,Alaska,ALWAYS,SOMETIMES,0.235
2185,Alaska,ALWAYS,FREQUENTLY,0.215
2185,Alaska,ALWAYS,ALWAYS,0.455
2188,Alaska,FREQUENTLY,NEVER,0.035
2188,Alaska,FREQUENTLY,RARELY,0.188
2188,Alaska,FREQUENTLY,SOMETIMES,0.051
2188,Alaska,FREQUENTLY,FREQUENTLY,0.474
2188,Alaska,FREQUENTLY,ALWAYS,0.252
2195,Alaska,ALWAYS,NEVER,0.042
2195,Alaska,ALWAYS,RARELY,0.095
2195,Alaska,ALWAYS,SOMETIMES,0.148
2195,Alaska,ALWAYS,FREQUENTLY,0.349
2195,Alaska,ALWAYS,ALWAYS,0.365
2198,Alaska,ALWAYS,NEVER,0.033
2198,Alaska,ALWAYS,RARELY,0.125
2198,Alaska,ALWAYS,SOMETIMES,0.161
2198,Alaska,ALWAYS,FREQUENTLY,0.3
2198,Alaska,ALWAYS,ALWAYS,0.38
2220,Alaska,FREQUENTLY,NEVER,0.048
2220,Alaska,FREQUENTLY,RARELY,0.077
2220,Alaska,FREQUENTLY,SOMETIMES,0.137
2220,Alaska,FREQUENTLY,FREQUENTLY,0.381
2220,Alaska,FREQUENTLY,ALWAYS,0.357
2230,Alaska,FREQUENTLY,NEVER,0.058
2230,Alaska,FREQUENTLY,RARELY,0.038
2230,Alaska,FREQUENTLY,SOMETIMES,0.116
2230,Alaska,FREQUENTLY,FREQUENTLY,0.435
2230,Alaska,FREQUENTLY,ALWAYS,0.354
2240,Alaska,ALWAYS,NEVER,0.064
2240,Alaska,ALWAYS,RARELY,0.071
2240,Alaska,ALWAYS,SOMETIMES,0.14
