COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
29103,Missouri,ALWAYS,RARELY,0.112
29103,Missouri,ALWAYS,SOMETIMES,0.182
29103,Missouri,ALWAYS,FREQUENTLY,0.271
29103,Missouri,ALWAYS,ALWAYS,0.353
29105,Missouri,NEVER,NEVER,0.313
29105,Missouri,NEVER,RARELY,0.121
29105,Missouri,NEVER,SOMETIMES,0.172
29105,Missouri,NEVER,FREQUENTLY,0.107
29105,Missouri,NEVER,ALWAYS,0.287
29107,Missouri,ALWAYS,NEVER,0.033
29107,Missouri,ALWAYS,RARELY,0.098
29107,Missouri,ALWAYS,SOMETIMES,0.052
29107,Missouri,ALWAYS,FREQUENTLY,0.247
29107,Missouri,ALWAYS,ALWAYS,0.571
29109,Missouri,SOMETIMES,NEVER,0.241
29109,Missouri,SOMETIMES,RARELY,0.05
29109,Missouri,SOMETIMES,SOMETIMES,0.251
29109,Missouri,SOMETIMES,FREQUENTLY,0.222
29109,Missouri,SOMETIMES,ALWAYS,0.237
29111,Missouri,ALWAYS,NEVER,0.164
29111,Missouri,ALWAYS,RARELY,0.109
29111,Missouri,ALWAYS,SOMETIMES,0.177
29111,Missouri,ALWAYS,FREQUENTLY,0.23
29111,Missouri,ALWAYS,ALWAYS,0.32
29113,Missouri,ALWAYS,NEVER,0.063
29113,Missouri,ALWAYS,RARELY,0.119
29113,Missouri,ALWAYS,SOMETIMES,0.236
29113,Missouri,ALWAYS,FREQUENTLY,0.282
29113,Missouri,ALWAYS,ALWAYS,0.299
29115,Missouri,ALWAYS,NEVER,0.126
29115,Missouri,ALWAYS,RARELY,0.156
29115,Missouri,ALWAYS,SOMETIMES,0.118
29115,Missouri,ALWAYS,FREQUENTLY,0.274
29115,Missouri,ALWAYS,ALWAYS,0.326
29117,Missouri,ALWAYS,NEVER,0.15
29117,Missouri,ALWAYS,RARELY,0.228
29117,Missouri,ALWAYS,SOMETIMES,0.111
29117,Missouri,ALWAYS,FREQUENTLY,0.25
29117,Missouri,ALWAYS,ALWAYS,0.26
29119,Missouri,ALWAYS,NEVER,0.152
29119,Missouri,ALWAYS,RARELY,0.145
29119,Missouri,ALWAYS,SOMETIMES,0.089
29119,Missouri,ALWAYS,FREQUENTLY,0.138
29119,Missouri,ALWAYS,ALWAYS,0.476
29121,Missouri,ALWAYS,NEVER,0.118
29121,Missouri,ALWAYS,RARELY,0.127
29121,Missouri,ALWAYS,SOMETIMES,0.158
29121,Missouri,ALWAYS,FREQUENTLY,0.258
29121,Missouri,ALWAYS,ALWAYS,0.338
29123,Missouri,ALWAYS,NEVER,0.082
29123,Missouri,ALWAYS,RARELY,0.124
29123,Missouri,ALWAYS,SOMETIMES,0.092
29123,Missouri,ALWAYS,FREQUENTLY,0.296
29123,Missouri,ALWAYS,ALWAYS,0.406
29125,Missouri,ALWAYS,NEVER,0.098
29125,Missouri,ALWAYS,RARELY,0.158
29125,Missouri,ALWAYS,SOMETIMES,0.121
29125,Missouri,ALWAYS,FREQUENTLY,0.198
29125,Missouri,ALWAYS,ALWAYS,0.424
29127,Missouri,ALWAYS,NEVER,0.178
29127,Missouri,ALWAYS,RARELY,0.093
29127,Missouri,ALWAYS,SOMETIMES,0.212
29127,Missouri,ALWAYS,FREQUENTLY,0.185
29127,Missouri,ALWAYS,ALWAYS,0.332
29129,Missouri,ALWAYS,NEVER,0.23
29129,Missouri,ALWAYS,RARELY,0.13
29129,Missouri,ALWAYS,SOMETIMES,0.216
29129,Missouri,ALWAYS,FREQUENTLY,0.162
29129,Missouri,ALWAYS,ALWAYS,0.261
29131,Missouri,ALWAYS,NEVER,0.2
29131,Missouri,ALWAYS,RARELY,0.126
29131,Missouri,ALWAYS,SOMETIMES,0.137
29131,Missouri,ALWAYS,FREQUENTLY,0.147
29131,Missouri,ALWAYS,ALWAYS,0.39
29133,Missouri,ALWAYS,NEVER,0.129
29133,Missouri,ALWAYS,RARELY,0.097
29133,Missouri,ALWAYS,SOMETIMES,0.141
29133,Missouri,ALWAYS,FREQUENTLY,0.221
29133,Missouri,ALWAYS,ALWAYS,0.413
29135,Missouri,ALWAYS,NEVER,0.102
29135,Missouri,ALWAYS,RARELY,0.268
29135,Missouri,ALWAYS,SOMETIMES,0.11
29135,Missouri,ALWAYS,FREQUENTLY,0.202
29135,Missouri,ALWAYS,ALWAYS,0.318
29137,Missouri,ALWAYS,NEVER,0.164
29137,Missouri,ALWAYS,RARELY,0.105
29137,Missouri,ALWAYS,SOMETIMES,0.182
29137,Missouri,ALWAYS,FREQUENTLY,0.203
29137,Missouri,ALWAYS,ALWAYS,0.346
